2019-11-03 16:40:53 [main] INFO  FilterMoreResults_Page:838 - min year: 2000
2019-11-03 16:40:53 [main] INFO  FilterMoreResults_Page:839 - max year 2017
2019-11-03 16:40:53 [main] INFO  FilterMoreResults_Page:840 - prop1_year is : 2015
2019-11-03 16:40:53 [main] INFO  FilterMoreResults_Page:845 - It filtered by year correctly
2019-11-03 16:41:07 [main] INFO  FilterResults_Page:181 - It filtered by beds correctly.
2019-11-03 16:41:26 [main] INFO  FilterResults_Page:90 - Filter results max price is $1299900

2019-11-03 16:41:35 [main] INFO  FilterResults_Page:114 - Filter results min price is $800000

2019-11-03 16:41:35 [main] INFO  FilterResults_Page:119 - Search for price between 800000 and 1300000

2019-11-03 16:41:35 [main] INFO  FilterResults_Page:123 - It filtered by price correctly.
2019-11-03 16:41:50 [main] INFO  FilterResults_Page:241 - It filtered by baths correctly.
